/tmp/error.YRZj4C:[Thu Jan 09 17:48:54.820502 2014] [cgi:error] [pid 26707] [client 23.202.196.212:50927] AH01215: replayserver: Can't find: GET /data/sample.jpeg?CS_001=1081107&re=0&co=0&ssid=1389307734815-14429&cs=0&ci=0&ver=1390&tran=-1&rnd=86, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.817017 2014] [cgi:error] [pid 26692] [client 170.146.234.214:38510] AH01215: replayserver: Can't find: GET /js/primary%20pages/app/message_ticker.js, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.817116 2014] [cgi:error] [pid 26694] [client 170.146.234.214:38509] AH01215: replayserver: Can't find: GET /js/primary%20pages/app/home.js, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.817499 2014] [cgi:error] [pid 26695] [client 170.146.234.214:38508] AH01215: Can't find: GET /js/primary%20pages/app/app.js, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.819873 2014] [cgi:error] [pid 26696] [client 170.146.234.214:38511] AH01215: replayserver: Can't find: GET /js/primary%20pages/app/prev_next_nav.js, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.821047 2014] [cgi:error] [pid 26693] [client 170.146.234.214:38512] AH01215: replayserver: Can't find: GET /css/font/amasismtstd-light-webfont.woff, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.833483 2014] [cgi:error] [pid 26692] [client 170.146.234.214:38514] AH01215: replayserver: Can't find: GET /css/font/amasismtstd-light-webfont.ttf, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.835684 2014] [cgi:error] [pid 26694] [client 170.146.234.214:38515] AH01215: replayserver: Can't find: GET /favicon.ico
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.857235 2014] [cgi:error] [pid 26695] [client 170.146.234.214:38516] AH01215: replayserver: Can't find: GET /css/font/amasismtstd-light-webfont.svg, referer: http://www.adp.com/
/tmp/error.qdynKs:[Thu Jan 09 17:48:54.655015 2014] [cgi:error] [pid 26776] [client 173.194.46.124:33923] AH01215: replayserver: Can't find: GET /activityi;src=3202694;type=landi340;cat=homep826;ord=5158714065328.24?, referer: http://www.adp.com/
/tmp/error.2ROrdR:[Thu Jan 09 17:48:54.653526 2014] [cgi:error] [pid 26723] [client 66.235.138.193:35635] AH01215: replayserver: Can't find: GET /b/ss/adpnew2008/1/H.24.2/s93427170249633?AQB=1&ndh=1&t=9%2F0%2F2014%2017%3A48%3A54%204%20300&ce=UTF-8&ns=adp&pageName=us%7Ccorp%7Ces%7Chomepage&g=http%3A%2F%2Fwww.adp.com%2F&cc=USD&c24=payroll%20services%20%7C%20human%20resources%20management%20%7C%20employee%20benefits%20administration%20%7C%20human%20capital%20management%20%7C%20time%20and%20labor%20management&v27=20&v29=vmu3yn45h5g4nleohntnuc55&v32=D%3DpageName&s=1920x1200&c=24&j=1.6&v=Y&k=Y&bw=937&bh=1051&p=Shockwave%20Flash%3BChrome%20Remote%20Desktop%20Viewer%3BWidevine%20Content%20Decryption%20Module%3BNative%20Client%3BChrome%20PDF%20Viewer%3BVLC%20Multimedia%20Plugin%20(compatible%20Videos%203.8.2)%3BWindows%20Media%20Player%20Plug-in%2010%20(compatible%3B%20Videos)%3BDivX%C2%AE%20Web%20Player%3BQuickTime%20Plug-in%207.6.6%3BiTunes%20Application%20Detector%3B&AQE=1, referer: http://www.adp.com/
