/tmp/error.kL7Ile:[Thu Jan 09 17:10:39.776326 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56673] AH01215: replayserver: Can't find: GET /avatar/b6bfeb565e3621d0b341914188789a13?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:39.787563 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56690] AH01215: replayserver: Can't find: GET /avatar/dcc009e494f6fe6a0655e3de377af052?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:39.788905 2014] [cgi:error] [pid 23085] [client 72.21.91.121:56691] AH01215: replayserver: Can't find: GET /avatar/0df669f97f63602260c65df5e92589a8?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:39.791161 2014] [cgi:error] [pid 23085] [client 72.21.91.121:56694] AH01215: replayserver: Can't find: GET /avatar/407e4ff6ba3b63d6334a59c2ec615514?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:39.793983 2014] [cgi:error] [pid 23085] [client 72.21.91.121:56695] AH01215: replayserver: Can't find: GET /avatar/96f135a1177e953587401d957028a482?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:39.794535 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56692] AH01215: Can't find: GET /avatar/0e45452c1b29cf6495527fcedb507fd1?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:39.796114 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56693] AH01215: replayserver: Can't find: GET /avatar/24124992b76c3da90e69661d4c2d05ca?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:39.798565 2014] [cgi:error] [pid 23085] [client 72.21.91.121:56697] AH01215: replayserver: Can't find: GET /avatar/1ab98a844d0335ae7c9d8e3f71ffda3a?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:39.823369 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56737] AH01215: replayserver: Can't find: GET /avatar/7c0dc769b20209dd0361cdbdd62f0631?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.043230 2014] [cgi:error] [pid 23083] [client 72.21.91.121:56788] AH01215: replayserver: Can't find: GET /avatar/b6bfeb565e3621d0b341914188789a13?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.043251 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56789] AH01215: replayserver: Can't find: GET /avatar/a04d03a116ba51d787ed01245edc8a55?s=40&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.043499 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56791] AH01215: replayserver: Can't find: GET /avatar/7c0dc769b20209dd0361cdbdd62f0631?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.044514 2014] [cgi:error] [pid 23085] [client 72.21.91.121:56790] AH01215: replayserver: Can't find: GET /avatar/1d11df86e86dd42305270b82b4bca597?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.045718 2014] [cgi:error] [pid 23083] [client 72.21.91.121:56792] AH01215: replayserver: Can't find: GET /avatar/0b95268a1a76ca3c83a2112b38af5958?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.047596 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56793] AH01215: replayserver: Can't find: GET /avatar/1d11df86e86dd42305270b82b4bca597?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.047997 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56794] AH01215: replayserver: Can't find: GET /avatar/7c0dc769b20209dd0361cdbdd62f0631?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.049676 2014] [cgi:error] [pid 23083] [client 72.21.91.121:56796] AH01215: replayserver: Can't find: GET /avatar/d73c0361aae1db881fb9fec56fb63b80?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.051712 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56797] AH01215: replayserver: Can't find: GET /avatar/2a285856910828b7dcef07cfaeefe22d?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.051891 2014] [cgi:error] [pid 23082] [client 72.21.91.121:56799] AH01215: replayserver: Can't find: GET /avatar/440613347274ca1dd817225238b83bab?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.052087 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56798] AH01215: Can't find: GET /avatar/4a2a8596e977f1ed358ff1e5bf4defdf?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.054300 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56801] AH01215: replayserver: Can't find: GET /avatar/729760248524d762af3a6f936f9aea27?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.054885 2014] [cgi:error] [pid 23085] [client 72.21.91.121:56803] AH01215: replayserver: Can't find: GET /avatar/0df669f97f63602260c65df5e92589a8?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.057585 2014] [cgi:error] [pid 23085] [client 72.21.91.121:56806] AH01215: Can't find: GET /avatar/407e4ff6ba3b63d6334a59c2ec615514?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.057664 2014] [cgi:error] [pid 23083] [client 72.21.91.121:56804] AH01215: replayserver: Can't find: GET /avatar/0e45452c1b29cf6495527fcedb507fd1?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.058426 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56805] AH01215: replayserver: Can't find: GET /avatar/24124992b76c3da90e69661d4c2d05ca?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.059566 2014] [cgi:error] [pid 23082] [client 72.21.91.121:56802] AH01215: Can't find: GET /avatar/dcc009e494f6fe6a0655e3de377af052?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.060103 2014] [cgi:error] [pid 23083] [client 72.21.91.121:56807] AH01215: replayserver: Can't find: GET /avatar/96f135a1177e953587401d957028a482?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.061203 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56809] AH01215: Can't find: GET /avatar/1ab98a844d0335ae7c9d8e3f71ffda3a?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.150692 2014] [cgi:error] [pid 23083] [client 72.21.91.121:56893] AH01215: Can't find: GET /avatar/b6bfeb565e3621d0b341914188789a13?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.150743 2014] [cgi:error] [pid 23085] [client 72.21.91.121:56896] AH01215: Can't find: GET /avatar/7c0dc769b20209dd0361cdbdd62f0631?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.151523 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56894] AH01215: replayserver: Can't find: GET /avatar/a04d03a116ba51d787ed01245edc8a55?s=40&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.153463 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56895] AH01215: replayserver: Can't find: GET /avatar/1d11df86e86dd42305270b82b4bca597?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.195775 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56906] AH01215: replayserver: Can't find: GET /avatar/7c0dc769b20209dd0361cdbdd62f0631?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.195867 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56905] AH01215: replayserver: Can't find: GET /avatar/1d11df86e86dd42305270b82b4bca597?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.197414 2014] [cgi:error] [pid 23082] [client 72.21.91.121:56904] AH01215: replayserver: Can't find: GET /avatar/0b95268a1a76ca3c83a2112b38af5958?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.198628 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56907] AH01215: replayserver: Can't find: GET /avatar/d73c0361aae1db881fb9fec56fb63b80?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.199416 2014] [cgi:error] [pid 23082] [client 72.21.91.121:56908] AH01215: replayserver: Can't find: GET /avatar/2a285856910828b7dcef07cfaeefe22d?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.200121 2014] [cgi:error] [pid 23085] [client 72.21.91.121:56910] AH01215: Can't find: GET /avatar/440613347274ca1dd817225238b83bab?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.200735 2014] [cgi:error] [pid 23083] [client 72.21.91.121:56909] AH01215: replayserver: Can't find: GET /avatar/4a2a8596e977f1ed358ff1e5bf4defdf?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.201322 2014] [cgi:error] [pid 23084] [client 72.21.91.121:56913] AH01215: Can't find: GET /avatar/729760248524d762af3a6f936f9aea27?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.201704 2014] [cgi:error] [pid 23082] [client 72.21.91.121:56915] AH01215: Can't find: GET /avatar/dcc009e494f6fe6a0655e3de377af052?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.203468 2014] [cgi:error] [pid 23083] [client 72.21.91.121:56916] AH01215: Can't find: GET /avatar/0df669f97f63602260c65df5e92589a8?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.244609 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56917] AH01215: replayserver: Can't find: GET /avatar/0e45452c1b29cf6495527fcedb507fd1?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.247803 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56918] AH01215: replayserver: Can't find: GET /avatar/24124992b76c3da90e69661d4c2d05ca?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.250044 2014] [cgi:error] [pid 23086] [client 72.21.91.121:56920] AH01215: Can't find: GET /avatar/407e4ff6ba3b63d6334a59c2ec615514?s=62&d=http%3A%2F%2F0.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.250600 2014] [cgi:error] [pid 23085] [client 72.21.91.121:56919] AH01215: replayserver: Can't find: GET /avatar/96f135a1177e953587401d957028a482?s=62&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D62&r=G, referer: http://www.forbes.com/
/tmp/error.kL7Ile:[Thu Jan 09 17:10:44.252301 2014] [cgi:error] [pid 23082] [client 72.21.91.121:56922] AH01215: replayserver: Can't find: GET /avatar/1ab98a844d0335ae7c9d8e3f71ffda3a?s=40&d=http%3A%2F%2F1.gravatar.com%2Favatar%2Fad516503a11cd5ca435acc9bb6523536%3Fs%3D40&r=G, referer: http://www.forbes.com/
/tmp/error.73QOjO:[Thu Jan 09 17:10:39.884823 2014] [cgi:error] [pid 23049] [client 173.194.46.124:46225] AH01215: replayserver: Can't find: GET /N7175/adj/fdc.forbes/welcome;id=fdc/welcome;pos=thought;sz=600x100;tile=3;ord=1827679940?, referer: http://www.forbes.com/fdc/welcome_mjx.shtml
/tmp/error.73QOjO:[Thu Jan 09 17:10:39.905016 2014] [cgi:error] [pid 23050] [client 173.194.46.124:46228] AH01215: replayserver: Can't find: GET /N7175/adj/fdc.forbes/welcome;id=fdc/welcome;pos=welcome;sz=300x250,640x480;tile=4;ord=1827679940?, referer: http://www.forbes.com/fdc/welcome_mjx.shtml
/tmp/error.73QOjO:[Thu Jan 09 17:10:44.112947 2014] [cgi:error] [pid 23051] [client 173.194.46.124:46342] AH01215: replayserver: Can't find: GET /N7175/adj/fdc.forbes/home;id=home_usa;rb=yes;pos=top;sz=728x90,970x66,970x250,970x90;tile=1;;ord=1113493759?, referer: http://www.forbes.com/
/tmp/error.73QOjO:[Thu Jan 09 17:10:44.152557 2014] [cgi:error] [pid 23052] [client 173.194.46.124:46362] AH01215: replayserver: Can't find: GET /N7175/adj/fdc.forbes/home;id=home_usa;pos=hpbanner;sz=728x90,970x66,970x250,970x90;tile=2;;ord=1113493759?, referer: http://www.forbes.com/
/tmp/error.73QOjO:[Thu Jan 09 17:10:44.196024 2014] [cgi:error] [pid 23053] [client 173.194.46.124:46379] AH01215: replayserver: Can't find: GET /N7175/adj/fdc.forbes/home;id=home_usa;pos=tradingctr;sz=980x45;tile=3;;ord=1113493759?, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:39.799566 2014] [cgi:error] [pid 23075] [client 18.7.20.70:42641] AH01215: replayserver: Can't find: GET /assets/img/loading_spinners/16px_on_transparent.gif, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:44.068492 2014] [cgi:error] [pid 23076] [client 18.7.20.70:42754] AH01215: replayserver: Can't find: GET /assets/img/loading_spinners/16px_on_transparent.gif, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:44.109894 2014] [cgi:error] [pid 23075] [client 18.7.20.70:42803] AH01215: replayserver: Can't find: GET /dmedianet.js?cid=8CU2T3HV4, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:44.111691 2014] [cgi:error] [pid 23078] [client 18.7.20.70:42812] AH01215: replayserver: Can't find: GET /media/current_covers/forbeslife_120x160.jpg, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:44.112774 2014] [cgi:error] [pid 23077] [client 18.7.20.70:42814] AH01215: replayserver: Can't find: GET /media/current_covers/forbesasia_120x160.jpg, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:44.114841 2014] [cgi:error] [pid 23074] [client 18.7.20.70:42810] AH01215: replayserver: Can't find: GET /media/current_covers/forbes_120x160.jpg, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:44.236192 2014] [cgi:error] [pid 23077] [client 18.7.20.70:42868] AH01215: replayserver: Can't find: GET /assets/img/loading_spinners/16px_on_transparent.gif, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:44.283768 2014] [cgi:error] [pid 23074] [client 18.7.20.70:42918] AH01215: replayserver: Can't find: GET /media/current_covers/forbes_120x160.jpg, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:44.287009 2014] [cgi:error] [pid 23076] [client 18.7.20.70:42920] AH01215: replayserver: Can't find: GET /media/current_covers/forbeslife_120x160.jpg, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:44.288577 2014] [cgi:error] [pid 23078] [client 18.7.20.70:42922] AH01215: replayserver: Can't find: GET /media/current_covers/forbesasia_120x160.jpg, referer: http://www.forbes.com/
/tmp/error.RhDKE7:[Thu Jan 09 17:10:44.288858 2014] [cgi:error] [pid 23075] [client 18.7.20.70:42923] AH01215: replayserver: Can't find: GET /media/assets/forbes_logo_101x26.png, referer: http://www.forbes.com/
/tmp/error.dhPzH2:[Thu Jan 09 17:10:39.884414 2014] [cgi:error] [pid 23138] [client 66.235.139.204:56518] AH01215: replayserver: Can't find: GET /b/ss/forbescom/1/H.22.1/s91129824577365?AQB=1&ndh=1&t=9%2F0%2F2014%2017%3A10%3A39%204%20300&ce=UTF-8&pageName=fdc%3Awelcome_mjx.shtml&g=http%3A%2F%2Fwww.forbes.com%2Ffdc%2Fwelcome_mjx.shtml&r=http%3A%2F%2Fwww.forbes.com%2F&cc=USD&ch=ads%3Awelcome&server=www&h1=ads%3Awelcome&c26=2014%3A01%3A09_18%3A10%3A39%3A877%7C063593&c28=2014%3A01%3A09_18%3A10%3A39%3A877%7C063593&c37=ads&c38=www&s=1920x1200&c=24&j=1.6&v=Y&k=Y&bw=937&bh=1051&p=Shockwave%20Flash%3BChrome%20Remote%20Desktop%20Viewer%3BWidevine%20Content%20Decryption%20Module%3BNative%20Client%3BChrome%20PDF%20Viewer%3BVLC%20Multimedia%20Plugin%20(compatible%20Videos%203.8.2)%3BWindows%20Media%20Player%20Plug-in%2010%20(compatible%3B%20Videos)%3BDivX%C2%AE%20Web%20Player%3BQuickTime%20Plug-in%207.6.6%3BiTunes%20Application%20Detector%3B&AQE=1, referer: http://www.forbes.com/fdc/welcome_mjx.shtml
